'CAM (cloranfenicol)' c1cc(ccc1[C@H]([C@@H](CO)NC(=O)C(Cl)Cl)O)[N+](=O)[O-] 56-75-7 0  
'2,4 DEP' C1=CC(=C(C=C1Cl)Cl)OCCOP(OCCOC2=C(C=C(C=C2)Cl)Cl)OCCOC3=C(C=C(C=C3)Cl)Cl 94-84-8 0  
Acetoxycycloheximidine CC(=O)C[C@]2(C)C[C@H](C)C(=O)[C@H]([C@H](O)CC1CC(=O)NC(=O)C1)C2  0  
Methiotriazamine CC1(N=C(N=C(N1C2=CC=C(C=C2)SC)N)N)C 6043-86-3 1  
Monensin O=C(O)[C@@H](C)[C@H](OC)[C@H](C)[C@H]5O[C@]1(O[C@@](C)(CC1)[C@@H]2O[C@@](CC)(CC2)[C@@H]4O[C@@H]([C@H]3O[C@@](O)(CO)[C@@H](C[C@@H]3C)C)C[C@@H]4C)C[C@H](O)[C@H]5C 17090-79-8 1  
'N-1-Naphthylphthalamic acid' O=C(O)c1ccccc1C(=O)Nc2cccc3ccccc23  1  
Narasin O=C([C@@H](C)[C@@H](O)[C@H](C)[C@]5([H])O[C@]([C@@H](CC)C(O)=O)([H])[C@@H](C)C[C@@H]5C)[C@H](CC)[C@@]1([H])O[C@@]2(O[C@@]3(CC[C@]([C@]4([H])O[C@@H](C)[C@@](O)(CC)CC4)(C)O3)[C@H](O)C=C2)[C@H](C)C[C@@H]1C 55134-13-9 1  
'Nequinate ' CCCCC1=C(C=C2C(=C1)C(=O)C(=CN2)C(=O)OC)OCC3=CC=CC=C3 13997-19-8 1  
Nicarbazin [O-][N+](=O)c1ccc(cc1)NC(=O)Nc2ccc([N+]([O-])=O)cc2  1  
Nitromide NC(=O)c1cc(C[N+](=O)[O-])cc(C[N+](=O)[O-])c1 121-81-3 1  
Nitrophenide C1=CC(=CC(=C1)SSC2=CC=CC(=C2)[N+](=O)[O-])[N+](=O)[O-] 537-91-7 1  
Oryzalin CCCN(CCC)C1=C(C=C(C=C1[N+](=O)[O-])S(=O)(=O)N)[N+](=O)[O-] 19044-88-3 1  
Ponazuril CC1=C(C=CC(=C1)N2C(=O)NC(=O)N(C2=O)C)OC3=CC=C(C=C3)S(=O)(=O)C(F)(F)F 69004-04-2 1  
Proquinolate COC(=O)/C2=C/Nc1cc(OC(C)C)c(OC(C)C)cc1C2O 1698-95-9 1  
Robenidine C1=CC(=CC=C1C=NNC(=NN=CC2=CC=C(C=C2)Cl)N)Cl 25875-51-8 1  
Romet c12c3c([nH]c(c1c(cc(o2)C(OCCC(C)C)=O)=O)=O)c(c(C)cc3)C 73080-51-0 1  Repirinast
Roxarsone Oc1ccc(cc1[N+](=O)[O-])[As](O)(O)=O 121-19-7 1  
Salinomycin O=C([C@H]([C@H]([C@@H]([C@]3([H])O[C@]([C@@H](CC)C(O)=O)([H])CC[C@@H]3C)C)O)C)[C@H](CC)[C@@]([C@@H](C)C[C@H]2C)([H])O[C@]12O[C@@]4(CC[C@]([C@]5([H])O[C@@H](C)[C@](CC)(O)CC5)(C)O4)[C@H](O)C=C1 53003-10-4 1  
'Sch 18545' CC(C(=O)Nc1ccc(c(c1)C(F)(F)F)C(F)(F)F)C(=O)Nc2ccc(c(c2)C(F)(F)F)C(F)(F)F 60131-74-0 1  
Semduramicin CC1CC(C(OC1C2CC(C(O2)C3(CCC(O3)C4(CCC5(O4)CC(C(C(O5)C(C)C6C(C(C(C(O6)(CC(=O)O)O)C)O)OC)C)O)C)C)OC7CCC(C(O7)C)OC)(C)O)C 113378-31-7 1  
Spiramycin O=CCC4C(OC2OC(C(OC1OC(C)C(O)C(O)(C)C1)C(N(C)C)C2O)C)C(OC)C(O)CC(=O)OC(C)C\C=C\C=C\C(OC3OC(C)C(N(C)C)CC3)C(C)C4 8025-81-8 1  
Sulfabenz c1ccc(cc1)NS(=O)(=O)c2ccc(cc2)N 127-77-5 1  
Sulfaclozine S(Nc1nc(Cl)cnc1)(c1ccc(cc1)N)(=O)=O 102-65-8 1  
Sulfadiazine C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N 68-35-9 1  
Sulfadimethoxine COc1cc(nc(n1)OC)NS(=O)(=O)c2ccc(cc2)N 122-11-2 1  
Sulfametrole COc1c(nsn1)NS(=O)(=O)c2ccc(cc2)N 32909-92-5 1  
'Sulfaquinoxaline
' C1=CC=C2C(=C1)N=CC(=N2)NS(=O)(=O)C3=CC=C(C=C3)N 59-40-5 1  
Tiazuril c1(ccc(cc1)Sc1c(cc(cc1C)n1ncc([nH]c1=O)=O)C)Cl 35319-70-1 1  
Tosulur Cc1ccc(cc1)S(=O)(=O)NC(=O)OCCOC 87051-13-6 1  
Toltrazuril CC1=C(C=CC(=C1)N2C(=O)NC(=O)N(C2=O)C)OC3=CC=C(C=C3)SC(F)(F)F 69004-03-1 1  
Dinsed c1ccc(cc1S(NCCNS(c1cc(ccc1)[N+]([O-])=O)(=O)=O)(=O)=O)[N+]([O-])=O 96-62-8 1  
